# 1秒以内に想起すべき動詞150語
# 英単語 | 発音 | 意味
meet | ミート | 会う
need | ニード | 必要とする
eat | イート | 食べる
help | ヘルプ | 助ける
ask | アスク | 聞く、頼む
talk | トーク | 話す
play | プレイ | 遊ぶ、演奏する
try | トライ | 試す
love | ラブ | 愛する
write | ライト | 書く
buy | バイ | 買う
use | ユーズ | 使う
start | スタート | 始める
find | ファインド | 見つける
wait | ウェイト | 待つ
mean | ミーン | 意味する
hear | ヒア | 聞く
leave | リーブ | 去る
worry | ウォーリー | 心配する
hope | ホープ | 望む
watch | ウォッチ | 見る
work | ワーク | 働く
enjoy | エンジョイ | 楽しむ
feel | フィール | 感じる
stay | ステイ | 滞在する
forget | フォーゲット | 忘れる
keep | キープ | 保つ
live | リブ | 住む、生きる
show | ショウ | 見せる
remember | リメンバー | 覚える
finish | フィニッシュ | 終える
speak | スピーク | 話す
practice | プラクティス | 練習する
wear | ウェア | 着る
run | ラン | 走る、動く
sound | サウンド | ～に聞こえる
miss | ミス | 寂しく思う
learn | ラーン | 学ぶ
send | センド | 送る
hold | ホールド | つかむ
become | ビカム | ～になる
believe | ビリーブ | 信じる
teach | ティーチ | 教える
surprise | サプライズ | 驚かせる
walk | ウォーク | 歩く
invite | インバイト | 招待する
listen | リスン | 聞く
sit | シット | 座る
open | オープン | 開ける
understand | アンダースタンド | 理解する
check | チェック | 確認する
fall | フォール | 落ちる
happen | ハプン | 起こる
change | チェンジ | 変える
stop | ストップ | 止まる、やめる
turn | ターン | 回る
pick | ピック | 選ぶ
lose | ルーズ | 失う
decide | ディサイド | 決める
wish | ウィッシュ | 願う
drive | ドライブ | 運転する
win | ウィン | 勝つ
join | ジョイン | 参加する
visit | ビジット | 訪れる
cook | クック | 料理する
sleep | スリープ | 眠る
move | ムーブ | 動く
stand | スタンド | 立っている
excite | エキサイト | 興奮させる
drink | ドリンク | 飲む
pass | パス | 通る、合格する
sing | シング | 歌う
set | セット | セットする
begin | ビギン | 始める
seem | シーム | ～のようだ
hurt | ハート | 傷つける
wonder | ワンダー | ～かと思う
plan | プラン | 計画する
spend | スペンド | 使う
pay | ペイ | 払う
break | ブレイク | 壊す
cut | カット | 切る
carry | キャリー | 運ぶ
hit | ヒット | 打つ
promise | プロミス | 約束する
pull | プル | 引く
grow | グロウ | 育てる
agree | アグリー | 同意する
cry | クライ | 泣く
improve | インプルーブ | 上達する
act | アクト | 行動する
hate | ヘイト | 憎む
prefer | プリファー | 好む
remind | リマインド | 思い出させる
fight | ファイト | 戦う
read | リード | 読む
study | スタディ | 勉強する
guess | ゲス | 推測する
ride | ライド | 乗る
lie | ライ | 横になる
swim | スイム | 泳ぐ
celebrate | セレブレイト | 祝う
throw | スロー | 投げる
wash | ウォッシュ | 洗う
excuse | エクスキューズ | 許す
sell | セル | 売る
choose | チューズ | 選ぶ
dance | ダンス | 踊る
wake | ウェイク | 目を覚ます
bear | ベア | 生む
return | リターン | 戻る
answer | アンサー | 答える
draw | ドロー | 描く
hang | ハング | 吊るす
close | クローズ | 閉じる
prepare | プリペア | 準備する
receive | レシーブ | 受け取る
smell | スメル | においがする
arrive | アライブ | 到着する
count | カウント | 数える
drop | ドロップ | 落とす
hide | ハイド | 隠す
bake | ベイク | 焼く
decorate | デコレート | 飾る
enter | エンター | 入る
taste | テイスト | 味がする
build | ビルド | 建てる
name | ネーム | 名付ける
travel | トラベル | 旅行する
relax | リラックス | くつろぐ
notice | ノーティス | 気づく
care | ケア | 気にかける
cover | カバー | 覆う
cheer | チア | 応援する
dress | ドレス | 服を着せる
rain | レイン | 雨が降る
save | セーブ | 救う
surf | サーフ | サーフィンする
jog | ジョグ | ジョギングする
follow | フォロー | ついて行く
jump | ジャンプ | 跳ぶ
explain | エクスプレイン | 説明する
welcome | ウェルカム | 歓迎する
imagine | イマジン | 想像する

