# IT Office 英語 瞬間想起 基本動詞 1-50
# 単語 | 発音 | 意味
develop | ディベロップ | 開発する
implement | インプリメント | 実装する
design | デザイン | 設計する
build | ビルド | 構築する
deploy | デプロイ | 配備する
release | リリース | 公開する
test | テスト | テストする
verify | ベリファイ | 検証する
validate | バリデート | 妥当性確認する
debug | デバッグ | デバッグする
fix | フィックス | 修正する
refactor | リファクター | リファクタする
optimize | オプティマイズ | 最適化する
maintain | メンテイン | 保守する
upgrade | アップグレード | 更新する
migrate | マイグレート | 移行する
configure | コンフィギュア | 設定する
install | インストール | 導入する
uninstall | アンインストール | 削除する
enable | イネーブル | 有効化する
disable | ディスエーブル | 無効化する
monitor | モニター | 監視する
observe | オブザーブ | 観測する
log | ログ | 記録する
trace | トレース | 追跡する
analyze | アナライズ | 分析する
investigate | インベスティゲイト | 調査する
identify | アイデンティファイ | 特定する
reproduce | リプロデュース | 再現する
resolve | リゾルブ | 解決する
prevent | プリベント | 防止する
handle | ハンドル | 対応する
support | サポート | 支援する
document | ドキュメント | 文書化する
review | レビュー | レビューする
approve | アプルーブ | 承認する
reject | リジェクト | 却下する
merge | マージ | 統合する
branch | ブランチ | 分岐する
commit | コミット | コミットする
push | プッシュ | 送信する
pull | プル | 取得する
clone | クローン | 複製する
checkout | チェックアウト | 切り替える
tag | タグ | タグ付けする
rollback | ロールバック | 巻き戻す
backup | バックアップ | バックアップする
restore | リストア | 復元する
schedule | スケジュール | 予定する
reschedule | リスケジュール | 再調整する
delay | ディレイ | 遅らせる
proceed | プロシード | 進める
pause | ポーズ | 一時停止する
resume | レジューム | 再開する
cancel | キャンセル | 中止する
prioritize | プライオリタイズ | 優先する
estimate | エスティメイト | 見積もる
assess | アセス | 評価する
evaluate | イバリュエイト | 評価する
discuss | ディスカス | 議論する
explain | エクスプレイン | 説明する
clarify | クラリファイ | 明確にする
confirm | コンファーム | 確認する
verify | ベリファイ | 確認する
agree | アグリー | 合意する
disagree | ディスアグリー | 反対する
decide | ディサイド | 決定する
finalize | ファイナライズ | 確定する
assign | アサイン | 割り当てる
delegate | デリゲート | 委任する
track | トラック | 追跡する
follow up | フォローアップ | 追跡対応する
report | リポート | 報告する
update | アップデート | 更新する
notify | ノーティファイ | 通知する
share | シェア | 共有する
present | プレゼント | 提示する
summarize | サマライズ | 要約する
highlight | ハイライト | 強調する
point out | ポイントアウト | 指摘する
escalate | エスカレート | 上申する
coordinate | コーディネート | 調整する
align | アライン | 整合させる
negotiate | ネゴシエイト | 交渉する
compromise | コンプロマイズ | 妥協する
resolve | リゾルブ | 解決する
close | クローズ | クローズする
complete | コンプリート | 完了する
deliver | デリバー | 提供する
release | リリース | リリースする
announce | アナウンス | 発表する
approve | アプルーブ | 承認する
reject | リジェクト | 却下する
document | ドキュメント | 記録する
archive | アーカイブ | 保管する
authenticate | オーセンティケート | 認証する
authorize | オーソライズ | 認可する
encrypt | エンクリプト | 暗号化する
decrypt | ディクリプト | 復号する
secure | セキュア | 保護する
protect | プロテクト | 守る
detect | ディテクト | 検知する
block | ブロック | 遮断する
allow | アラウ | 許可する
restrict | リストリクト | 制限する
audit | オーディット | 監査する
log | ログ | 記録する
trace | トレース | 追跡する
monitor | モニター | 監視する
alert | アラート | 警告する
notify | ノーティファイ | 通知する
investigate | インベスティゲイト | 調査する
respond | レスポンド | 対応する
mitigate | ミティゲイト | 軽減する
prevent | プリベント | 防止する
backup | バックアップ | バックアップする
restore | リストア | 復旧する
recover | リカバー | 回復する
failover | フェイルオーバー | 切り替える
isolate | アイソレート | 隔離する
patch | パッチ | 修正を当てる
update | アップデート | 更新する
upgrade | アップグレード | 更新する
scan | スキャン | 検査する
test | テスト | テストする
verify | ベリファイ | 検証する
approve | アプルーブ | 承認する
reject | リジェクト | 却下する
report | リポート | 報告する
document | ドキュメント | 文書化する
escalate | エスカレート | 上申する
comply | コンプライ | 従う
enforce | エンフォース | 強制する
allowlist | アラウリスト | 許可リスト化する
blocklist | ブロックリスト | 拒否リスト化する
monitor | モニター | 監視する
analyze | アナライズ | 分析する
assess | アセス | 評価する
improve | インプルーブ | 改善する
optimize | オプティマイズ | 最適化する
maintain | メンテイン | 維持する
review | レビュー | 見直す
finalize | ファイナライズ | 確定する

