# IT Office 英語 頻出イディオム 1-40
# 表現 | 発音 | 意味
follow up | フォローアップ | 追加対応する
set up | セットアップ | 準備する、構築する
catch up | キャッチアップ | 進捗を共有する
figure out | フィギュアアウト | 理解する、解決する
look into | ルックイントゥ | 調査する
work on | ワークオン | 取り組む
deal with | ディールウィズ | 対応する
check out | チェックアウト | 確認する
point out | ポイントアウト | 指摘する
bring up | ブリングアップ | 話題に出す
go over | ゴーオーバー | 一通り確認する
run into | ランイントゥ | （問題に）直面する
set aside | セットアサイド | 後回しにする
move forward | ムーブフォワード | 前に進める
wrap up | ラップアップ | まとめる
hand over | ハンドオーバー | 引き継ぐ
take care of | テイクケアオブ | 対応する
get back to | ゲットバックトゥ | 後で返答する
keep track of | キープトラックオブ | 追跡する
fall behind | フォールビハインド | 遅れる
catch up with | キャッチアップウィズ | 追いつく
come up with | カムアップウィズ | 思いつく
make sure | メイクシュア | 念を押す
sort out | ソートアウト | 整理する
step in | ステップイン | 介入する
step back | ステップバック | 一歩引く
log in | ログイン | ログインする
log out | ログアウト | ログアウトする
sign off | サインオフ | 承認する
roll out | ロールアウト | 展開する
take over | テイクオーバー | 引き継ぐ
hand in | ハンドイン | 提出する
back up | バックアップ | 支援する／バックアップする
break down | ブレイクダウン | 故障する／分解する
bring forward | ブリングフォワード | 前倒しする
push back | プッシュバック | 延期する
shut down | シャットダウン | 停止する
spin up | スピンアップ | 立ち上げる
tear down | ティアダウン | 廃止する
scale up | スケールアップ | 拡張する
scale down | スケールダウン | 縮小する
slow down | スローダウン | 減速する
speed up | スピードアップ | 加速する
check in | チェックイン | 進捗共有する
sync up | シンクアップ | 同期する
line up | ラインアップ | 揃える
phase out | フェーズアウト | 段階的に廃止する
rule out | ルールアウト | 除外する
carry over | キャリーオーバー | 持ち越す
break out | ブレイクアウト | 発生する
run out of | ランアウトオブ | 使い切る
fall through | フォールスルー | 失敗に終わる
come across | カムアクロス | 偶然見つける
set back | セットバック | 遅らせる
kick off | キックオフ | 開始する
wind up | ワインドアップ | 最終的に～になる
opt out | オプトアウト | 辞退する
sign up | サインアップ | 登録する
fill in | フィルイン | 代行する／補足する
lock down | ロックダウン | 固定・封鎖する
get around | ゲットアラウンド | 回避する
run by | ランバイ | 事前に相談する
touch base | タッチベース | 軽く連絡する
reach out | リーチアウト | 連絡を取る
follow through | フォロースルー | やり切る
zero in on | ゼロインオン | 焦点を当てる
boil down to | ボイルダウン | 要するに～だ
iron out | アイアンアウト | 問題を解消する
pan out | パンアウト | うまくいく
play it by ear | プレイイットバイイヤー | 状況次第で決める
on track | オントラック | 順調で
off track | オフトラック | 脱線して
in place | インプレイス | 整っている
up to speed | アップトゥスピード | 最新状況を把握して
out of scope | アウトオブスコープ | 対象外
in charge of | インチャージオブ | 担当して
on hold | オンホールド | 保留中
at risk | アットリスク | リスクがある
in progress | インプログレス | 進行中
as planned | アズプランド | 予定どおり
by design | バイデザイン | 仕様どおり
for now | フォーナウ | とりあえず
at this point | アットディスポイント | 現時点では
in the loop | インザループ | 情報共有されて
out of the loop | アウトオブザループ | 情報から外れて
on the same page | オンザセイムページ | 認識が一致して
ahead of schedule | アヘッドオブスケジュール | 予定より早い
behind schedule | ビハインドスケジュール | 遅れている
on short notice | オンショートノーティス | 急な連絡で
in the meantime | インザミーンタイム | その間に
